Tool Name,Story,Works with,No.of actions,Author
Slack,Process CrowdStrike detections with Intezer,"CrowdStrike, Intezer Analyze, Jira Software, Slack",22,Aaron Sandow
Slack,Lookup user in multiple platforms,"BambooHR, Okta, Slack, Tines",11,Michael Tolan
Slack,Message into Slack based on Jira queries,"Jira Software, Slack",8,Michael Tolan
Slack,Onboard users to OctoPerf via Slack or Jira,"Jira Software, OctoPerf, Slack",29,null
Slack,Fetch rule results from Recorded Future Attack Surface Intelligence & open Jira tickets,"Jira Software, Recorded Future, Slack",31,Aaron Sandow
Slack,Respond to & configure Terraform Cloud run task,"HashiCorp, HashiCorp Terraform, Jira Software, Slack",16,null
Slack,Manage temporary EC2 instances for development and testing and send notifications in Slack,"AWS, Slack",95,null
Slack,Create a ServiceNow incident from Slack,"ServiceNow, Slack",7,Conor Dunne
Slack,Handover Oncalls in Opsgenie with Tines Cases,"OpsGenie, Slack, Tines",17,null
Slack,Manage Velociraptor artifact collection via Slack,"LimaCharlie, Slack, Velociraptor",9,Conor Dunne
Slack,Rotate AWS IAM access keys and update Tines credentials,"AWS, Slack, Tines",16,Michael Tolan
Slack,Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"AWS, Jira Software, Slack, Wiz",36,Conor Dunne
Slack,Report and lock lost devices in Jamf with Okta SSO,"Jamf Pro, Jira Software, Okta, Slack",28,Sakil Khan
Slack,Manage GitLab issues in Slack,"GitLab, Slack",47,Conor Dunne
Slack,Share reminders for company holidays,"BambooHR, Slack",15,null
Slack,Send daily Google Calendar reminders in Slack with notes integration,"Google Calendar, Slack",19,Michael Tolan
Slack,Handle Opsgenie alerts and create a Tines case,"OpsGenie, Slack",24,null
Slack,Create a dynamic drop down menu in Slack,Slack,12,null
Slack,Process new ServiceNow incidents,"ServiceNow, Slack",3,null
Slack,Enrich & document Recorded Future alerts,"Jira Software, Recorded Future, Slack",26,null
Slack,Monitor email inbox for sales leads,Slack,6,Michael O'Connell
Slack,Remove 3rd Party Apps marked for removal in Netskope SSPM,"Microsoft Azure, Netskope, Slack",6,Netskope
Slack,Analyze vulnerabilities from JupiterOne by source account using Tines Cases,"Jira Software, JupiterOne, Slack",15,null
Slack,Use a Tines Page to analyze known vulnerabilities from Tenable,"Jira Software, Slack, Tenable Vulnerability Management",12,null
Slack,Query Shodan for findings and alert on them using Slack and Jira,"Jira Software, Shodan, Slack, Splunk",11,null
Slack,Monitor Okta for invalid sign-in attempts and resolve via Slack,"Okta, PagerDuty, Slack",14,null
Slack,Query Snowflake via Slack and return results as CSV,"Slack, Snowflake",12,Michael Tolan
Slack,Triage phishing alerts with Sublime,"Slack, Sublime Security",16,null
Slack,Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,"CrowdStrike, Jira Software, Microsoft Defender, Slack",34,null
Slack,Manage shift turnover with Handogotchi,"GitLab, Slack",41,Valentine Mairet
Slack,Remind employees to take time off with BambooHr & Slack,"BambooHR, Slack",10,null
Slack,Fetch rule results from Recorded Future Attack Surface Intelligence & open ServiceNow tickets,"Recorded Future, ServiceNow, Slack",30,Rosie Halpin
Slack,Rickroll users in Slack,Slack,8,Andrew Katz
Slack,Triage Google Chronicle cases from Slack,"Google, Slack",43,Sakil Khan
Slack,Create AWS RDS databases from a backup via Slack,"AWS, Slack",47,Conor Dunne
Slack,Reset Google account password and notify via Slack,"Google, Slack",13,Conor Dunne
Slack,Request and approve access to new tools with an audit trail,"AWS, GitHub, Jira Software, Okta, Slack",31,Michael Tolan
Slack,Run a job using Ansible Tower,"Ansible, Slack",11,null
Slack,Scan a URL in Criminal IP,"Criminal IP, Slack",11,null
Slack,Receive a Request for Device Approval into Tailscale and Check Axonius,"Axonius, Slack, Tailscale",17,null
Slack,Lookup devices in Lansweeper using a Slack command,"Lansweeper, Slack",10,Conor Dunne
Slack,Social Interact Made Easy with Virtual Coffee Bot,Slack,36,null
Slack,Use Slack to record specific Wiz insights in TheHive,"Slack, TheHive Project, Wiz",26,null
Slack,Manage Google Calendar swiftly when unexpected alerts trigger,"Google, Slack",42,null
Slack,Time-based Okta group membership,"Okta, Slack",11,Scott Bean
Slack,Provide a password reset page in Tines,"Jira Software, Okta, Slack",18,Michael Tolan
Slack,Retrieve domain risk scores in Slack using DomainTools API,"DomainTools, Slack",13,null
Slack,Select a Slack user at random,Slack,7,null
Slack,Offboard employees using HiBob,"Google, HiBob, Okta, Slack",18,null
Slack,Identify and resolve false positive AWS alerts in Orca,"AWS, Orca Security, Slack",23,null
Slack,Raise Jira requests using Tines Pages and notify Slack,"Jira Software, Slack",8,Michael Tolan
Slack,Receive and correlate alerts from Sysdig,"OpsGenie, PagerDuty, Slack, Sysdig",10,null
Slack,Create VirusTotal domain reputation summaries using NVIDIA AI,"NVIDIA, Slack, VirusTotal",18,Conor Dunne
Slack,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
Slack,Monitor website certificates for expiration,"APIVoid, Jira Software, Slack",26,Conor Dunne
Slack,Run command & control tasks in Mythic using Slack,Slack,8,null
Slack,Manage CyberArk access requests using Slack,"CyberArk, Jira Software, Slack",23,Conor Dunne
Slack,Process & enrich Cylance detections,"Cylance, Slack, VirusTotal, Zendesk",29,null
Slack,Perform Google Workspace access review,"Google, Slack",11,Rosie Halpin
Slack,Alert users of potential breaches detected by SpyCloud.,"Slack, SpyCloud",9,Conor Dunne
Slack,Verify Slack signatures are authentic,Slack,9,null
Slack,Capture and post handover notes in Slack using a Zendesk lookup,"Slack, Zendesk",8,null
Slack,Isolate & remediate AWS EC2 instance based on IOC,"AWS, Jira Software, Slack",23,null
Slack,Utilize ChatOps to get feedback on alerts & changes within your environment,Slack,13,null
Slack,Alert users of JupiterOne issues associated to their account,"JupiterOne, Slack",13,Conor Dunne
Slack,Discover inactive Service Accounts in Google Cloud,"Google, Jira Software, Slack, Wiz",13,null
Slack,Lookup third-party domain in Recorded Future,"Jira Software, Recorded Future, Slack",20,Aaron Sandow
Slack,"Retrieve Code42 alerts, send to Slack and suspend user in Okta","Code42, Okta, Slack",19,null
Slack,Question a user and check response via Slack,Slack,35,Michael Tolan
Slack,Monitor CVE trends via Cybersixgill and alert on impacted assets in Tenable.io,"Cybersixgill, Slack, Tenable Vulnerability Management",6,null
Slack,Communicate across chats in Intercom and Slack,"Intercom, Slack",30,Conor Dunne
Slack,Game: Guess the anime quote,Slack,47,null
Slack,Send follow up email to event attendees,Slack,16,null
Slack,Discover & remediate public Tines pages,Slack,18,null
Slack,Check Workday for unauthorized travel and alert in Slack,"Elastic, Jumpcloud, OpsGenie, Slack, Workday",34,Muhammet Tekbicak
Slack,Monitor VulnCheck KEV and alert on impacted assets in Tenable.io,"Slack, Tenable Vulnerability Management, VulnCheck",6,null
Slack,"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack","AWS, BambooHR, Jira Software, Microsoft Azure, Slack",20,Michael Tolan
Slack,Send AWS EventBridge events to Slack,"AWS, Slack",7,Conor Dunne
Slack,Use Slackbots to understand jargon,Slack,25,null
Slack,Manage Okta user groups and create Jira tickets via Slack,"AWS, Jira Software, Knowbe4, Okta, Slack",140,Sandeep Kumar
Slack,Monitor and manage Tailscale device enrollments via Slack,"Slack, Tailscale",6,Conor Dunne
Slack,Manage Okta login threshold limit in Jira via Slack,"Jira Software, Okta, Slack",15,null
Slack,Get host log alerts from Devo SIEM,"Devo, Jira Software, Slack",10,null
Slack,Search Fleet for software on devices using Slack,"Fleet, Slack",21,Conor Dunne
Slack,Lock a device in JumpCloud,"Jumpcloud, Slack",35,Nicolas Oropel
Slack,Monitor Azure application secrets for expiration and alert,"Jira Software, Microsoft Azure, Slack",10,Michael Tolan
Slack,Update employee probation status with BambooHR & Slack,"BambooHR, Slack",21,null
Slack,Search NetBox for device info using Slack,"NetBox, Slack",26,Michael Tolan
Slack,Detect unusual user activity with Material Security,"Material Security, Slack, Tines",11,Material Security
Slack,Give kudos to coworkers using a Slack bot,"AWS, Slack",28,Adam Maksimuk
Slack,Respond to Google Drive public exposure alerts in Reco and secure files,"Google, Google Drive, Reco, Slack",46,null
Slack,GitLab handover with response teams via a Slackbot,"GitLab, Slack",42,null
Slack,Analyze Tines action failure notifications with AI,Slack,6,Tyler Talaga
Slack,Create issues in Jira from alerts in Cybersixgill and notify with Slack and email,"Cybersixgill, Jira Software, Slack",4,null
Slack,Search for and remediate inactive AWS accounts from JupiterOne,"AWS, Jira Software, JupiterOne, Slack",14,null
Slack,Notify Slack channel of recently added tracks in Spotify playlists,"Slack, Spotify",15,Michael Tolan
Slack,Monitor and backup Fleet policies in GitHub,"Fleet, GitHub, Slack",27,Conor Dunne
Slack,Send Slack notifications when AWS budgets are exceeded and take action,"AWS, Slack",10,Michael Tolan
Slack,Using Slack with DomainTools' Iris Investigate API,"DomainTools, Slack",16,null
Slack,Retrieve & enrich Okta alerts from Logz.io,"Logz.io, Okta, Slack",27,null
Slack,Standardize and enrich EDR alerts across platforms,"CrowdStrike, Jira Software, Slack, VirusTotal",26,Shaun Finn
Slack,Fill out weekly recaps with Tines Pages and Slack,"Airtable, Slack",30,Conor Dunne
Slack,Tines web crawler,Slack,17,Conor Dunne
Slack,Manage your fantasy football team with Slack,Slack,61,null
Slack,Deploy Canarytoken using CrowdStrike RTR,"CrowdStrike, Slack, Thinkst Canary",7,Tyron Kemp
Slack,Update Linux system packages using Ansible Tower,"Ansible, Slack",16,Conor Dunne
Slack,Perform free text Censys searches via a Slack channel,"Censys, Slack",11,Conor Dunne
Slack,Search for docs in Coda using Slack,"Coda, Slack",9,Conor Dunne
Slack,Send alerts when GitLab projects change to public visibility,"GitLab, Slack",17,null
Slack,Monitor the health of a Hashicorp Vault cluster,"HashiCorp, Slack",13,Nate Adams
Slack,Distributed Alerting Slackbot with 2FA,"Jira Software, Slack, Sumo Logic",99,Jamison Bigham
Slack,Notify and assign training based on Harmonic Security alerts,"Harmonic Security, Knowbe4, Notion, Slack, Tines",17,Harmonic Security
Slack,Monitor for domains that match a query in DomainTools Iris Investigate and notify Slack,"DomainTools, Slack",7,Nghia N
Slack,Send Slack notifications for Kubernetes pod status changes,"Kubernetes, Slack",13,Conor Dunne
Slack,"Rock, Paper, Scissors via Slack",Slack,19,Daniel Diez
Slack,Manage Entro exposure notifications via Slack and Jira,"Entro Security, Jira Software, Slack",13,Yehonatan Tsirolnik
Slack,Transfer Kubernetes manifest ownership via Slack,"Kubernetes, Slack",22,Conor Dunne
Slack,Monitor RSS feed for keywords and send to Slack,"Slack, Tines",13,Nick Page
Slack,Send a customised daily briefing in Slack,"Google Calendar, Jira Software, Slack",26,Michael Tolan
Slack,Investigate security alerts in Workbench from Slack links,"Elastic, GreyNoise, Slack",3,Michael Tolan
Slack,Create a Panic Button for users,"Opencage, Slack",8,Francesco Pergola
Slack,Coach users to use AI safely with Harmonic Security and Slack,"Harmonic Security, Slack",9,null
Slack,Search alphaMountain for URL threat intelligence via Slack,"alphaMountain, Slack",11,Michael Tolan
Slack,Query Falcon Logscale from Slack,"LogScale, Slack",12,Michael Tolan
Slack,Update employee probation status with HiBob & Slack,"HiBob, Slack",11,null
Slack,Review tasks in ConductorOne for inactive approvers and alert in Slack,"ConductorOne, Slack",9,Michael Tolan
Slack,Monitor TLS certificates for a domain with SSLMate,"Slack, SSLMate",25,Conor Dunne
Slack,Handle Kolide exemption requests via Slack,"Kolide, Slack",22,Scott Bean
Slack,Harmonic Hotdog Slackbot,Slack,26,Ed Merrett
Slack,Battleworld Slack app game,Slack,30,Peter Ortiz
Slack,LLM-Powered Fantasy Manager,Slack,54,Tyler Talaga
Slack,Triage Code42 alerts via Slack,"Code42, Slack",20,null
Slack,Search for processes on a host using Fleet scripts,"Fleet, Slack",27,Conor Dunne
Slack,Receive virtual machine deployment events from Azure Event Grid and alert in Slack and Jira,"Jira Software, Microsoft, Microsoft Azure, Slack",10,Michael Tolan
Slack,Monitor when a tagged domain becomes active in DomainTools Iris Investigate and notify via Slack,"DomainTools, Slack",8,Nghia N
Slack,Raise incidents in Atlassian Statuspage,"Slack, Statuspage",16,null
Slack,Sync IriusRisk projects with GitHub Terraform repositories,"GitHub, IriusRisk, Slack",21,Conor Dunne
Jira Software,Analyze CrowdStrike detections,"CrowdStrike, Jira Software, Slack, VirusTotal",13,null
Jira Software,Analyze and triage suspicious emails with various tools,"CrowdStrike, EmailRep, Jira Software, NextDNS, URLScan.io, VirusTotal",59,Michael Tolan
Jira Software,Interact with case management systems using chat agents,"BambooHR, Jira Software",3,Conor Dunne
Jira Software,Onboard new BambooHR starters using an agent,"BambooHR, Jira Software, Okta, Slack",7,Conor Dunne
Jira Software,Triage Material Security cases via Slack,"Jira Software, Material Security, Slack, Tines, VirusTotal",27,Shasheen Bandodkar
Jira Software,Correlate Rapid7 vulnerability data across various tools and report in Jira,"Jira Software, Manage Engine, Orca Security, Rapid7",125,Emily Nguyen
Jira Software,Expel Alert to Jira Ticket Automation,"Expel, Jira Software",23,Shasheen Bandodkar
Jira Software,Implement pagination with these techniques,"Jira Software, Notion, Slack, Tenable Vulnerability Management",32,null
Jira Software,Analyze an IP in many services at once,"AbuseIPDB, APIVoid, GreyNoise, Jira Software, Pulsedive, VirusTotal",13,Michael Tolan
Jira Software,Create Jira issues via Slack,"Jira Software, Slack",7,null
Jira Software,Send interactive messages in Slack,"Jira Software, Slack",26,null
Jira Software,Find & remediate publicly exposed S3 buckets with Wiz,"AWS, Jira Software, Slack, Wiz",13,null
Jira Software,Add a new user in Microsoft Entra ID,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",6,Michael Tolan
Jira Software,Identify and remediate malicious SentinelOne threats with VirusTotal,"Jira Software, SentinelOne, VirusTotal",40,null
Jira Software,Fetch and record CrowdStrike Spotlight vulnerabilities with Jira,"Automox, CrowdStrike, Jira Software",26,null
Jira Software,Handle Code42 alerts,"Code42, Jira Software, Slack",12,null
Jira Software,Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"CrowdStrike, Jira Software, Microsoft, Microsoft Teams",12,null
Jira Software,Grant temporary application access,"Jira Software, Okta, Slack, Tines",30,Shaun Finn
Jira Software,Investigate & remediate Lacework alerts,"AWS, Jira Software, Lacework",25,null
Jira Software,Investigate unresolved SentinelOne threats,"Jira Software, SentinelOne",5,null
Jira Software,Fetch & manage Microsoft Defender alerts,"Jira Software, Microsoft",5,null
Jira Software,Detect and remediate malware issues in Wiz with SentinelOne,"AWS, Jira Software, SentinelOne, Wiz",21,null
Jira Software,Create & manage incident communications with Slack and Jira,"Jira Software, Slack",59,Rosie Halpin
Jira Software,Analyze IPs & search for indicators of compromise,"Criminal IP, Jira Software, URLScan.io",29,null
Jira Software,Contain a registered device with CrowdStrike,"CrowdStrike, Jira Software, Slack",10,null
Jira Software,Analyze vulnerabilities from Tenable workbench,"GreyNoise, Jira Software, Slack, Tenable Vulnerability Management",25,null
Jira Software,"Disable accounts in Google Workspace, GitHub, and Okta","GitHub, Google, Jira Software, Okta",23,Aaron Sandow
Jira Software,Check if new AWS GuardDuty findings are malicious,"Amazon GuardDuty, AWS, Jira Software, URLScan.io",27,null
Jira Software,Disable accounts in Microsoft Entra ID,"Jira Software, Microsoft Azure",14,null
Jira Software,Triage new alerts in Google Alert Center with human oversight,"Google, Jira Software, Slack",19,null
Jira Software,"Detect, log and remediate AWS alerts with Orca Security and Jira","AWS, Jira Software, Orca Security, Slack",21,null
Jira Software,Detect and Block Bucket Public Access Policy with Cyera.io and AWS,"AWS, Cyera, Jira Software",11,null
Jira Software,Take action on Azure Sentinel alerts depending on severity level,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",30,Shaun Finn
Jira Software,Crowdsource suspicious logins and suspend accounts,"GreyNoise, Jira Software, OneLogin, PagerDuty, Slack",16,null
Jira Software,Track Snyk issues in Jira,"Jira Software, Snyk",16,null
Jira Software,Filter Hunters alerts by risk level and create cases via Slack,"Hunters SOC Platform, Jira Software, Slack",8,null
Jira Software,Send Wiz alerts to Slack and raise issues in Jira,"Jira Software, Slack, Wiz",22,null
Jira Software,Track AWS GuardDuty alerts in Jira and remediate,"Amazon GuardDuty, AWS, Jira Software",18,null
Jira Software,Search for & remediate public AWS S3 buckets with JupiterOne,"AWS, Jira Software, JupiterOne",10,null
Jira Software,Run & track vulnerability scans with Orca Security,"Jira Software, Orca Security",12,null
Jira Software,Discover and monitor unmanaged devices using Axonius,"Axonius, Jira Software, Shodan",10,null
Jira Software,Report and lock lost devices in Jamf,"Duo Security, Jamf Pro, Jira Software",14,Conor Dunne
Jira Software,Detonate files with Recorded Future Sandbox,"Jira Software, Recorded Future",17,null
Jira Software,Investigate EDR alerts from Carbon Black,"Jira Software, PagerDuty, VirusTotal",11,Shaun Finn
Jira Software,Create new Azure AD users via a form,"Jira Software, Microsoft, Microsoft Azure",10,Shaun Finn
Jira Software,Retrieve Proofpoint events and log issues in Jira,"EmailRep, Jira Software, Proofpoint, URLScan.io, VirusTotal",11,Michael Tolan
Jira Software,Analyze vulnerabilities from JupiterOne by source account,"Jira Software, JupiterOne, Slack",12,null
Jira Software,Create issues in GitHub and Jira from findings in Semgrep,"GitHub, Jira Software, Semgrep",20,Conor Dunne
Jira Software,Manage Qualys EC2 vulnerabilities in Jira,"Jira Software, Qualys",25,null
Jira Software,Query Snyk & gather a vulnerability report,"Jira Software, Snyk",13,null
Jira Software,Create Jira issues for new alerts from Google Alert Center,"Google, Jira Software",8,null
Jira Software,Approve user access to Okta or Office 365 using Pages,"Jira Software, Microsoft, Okta, Slack",44,null
